                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    125,                0.99924,                0.95623,                 1.1806,                0.84434,                0.69318,                0.78122,                0.56387,                 1.1257,                0.83963,                 1.2614,              0.0051292,              0.0051292,              0.0051292
                    126,                0.98918,                0.95431,                  1.173,                0.84198,                0.69555,                0.78091,                0.56359,                 1.1259,                0.83819,                 1.2617,              0.0050896,              0.0050896,              0.0050896
                    127,                0.99619,                0.95096,                 1.1748,                0.84532,                0.69568,                0.78111,                0.56323,                 1.1268,                 0.8367,                 1.2621,                0.00505,                0.00505,                0.00505
                    128,                0.99133,                0.95192,                  1.177,                 0.8361,                0.69778,                0.78129,                0.56424,                 1.1271,                0.83543,                 1.2629,              0.0050104,              0.0050104,              0.0050104
                    129,                0.99076,                0.93209,                 1.1693,                0.83968,                0.69494,                0.78116,                0.56309,                 1.1268,                0.83609,                 1.2626,              0.0049708,              0.0049708,              0.0049708
                    130,                0.98377,                0.93896,                 1.1673,                0.83235,                0.69535,                0.78089,                0.56398,                 1.1294,                0.83472,                 1.2647,              0.0049312,              0.0049312,              0.0049312
                    131,                 0.9855,                0.93492,                 1.1696,                 0.8345,                 0.6946,                0.78099,                0.56312,                 1.1301,                0.83474,                 1.2654,              0.0048916,              0.0048916,              0.0048916
                    132,                0.97949,                0.92487,                 1.1667,                0.84285,                0.69092,                0.78104,                0.56329,                 1.1293,                0.83322,                 1.2649,               0.004852,               0.004852,               0.004852
                    133,                0.99238,                0.92649,                 1.1703,                0.84731,                0.68874,                0.78212,                0.56365,                 1.1295,                0.83154,                 1.2646,              0.0048124,              0.0048124,              0.0048124
                    134,                0.97901,                0.91479,                 1.1665,                 0.8449,                0.69308,                0.78372,                0.56571,                 1.1294,                  0.832,                 1.2645,              0.0047728,              0.0047728,              0.0047728
                    135,                0.97497,                0.92838,                 1.1676,                0.84124,                0.69744,                0.78488,                0.56557,                 1.1299,                0.83102,                 1.2652,              0.0047332,              0.0047332,              0.0047332
                    136,                0.97595,                0.91842,                 1.1627,                0.84145,                0.69527,                0.78394,                0.56643,                 1.1298,                0.83033,                 1.2648,              0.0046936,              0.0046936,              0.0046936
                    137,                0.98207,                0.92521,                 1.1654,                0.85197,                0.69168,                0.78326,                0.56607,                 1.1302,                0.82889,                 1.2655,               0.004654,               0.004654,               0.004654
                    138,                 0.9704,                0.91583,                 1.1585,                0.84638,                0.69503,                0.78363,                0.56607,                 1.1308,                0.82909,                 1.2669,              0.0046144,              0.0046144,              0.0046144
                    139,                0.96037,                0.91445,                 1.1564,                0.85156,                0.69263,                0.78387,                0.56552,                  1.131,                0.82937,                 1.2671,              0.0045748,              0.0045748,              0.0045748
                    140,                0.97212,                0.91262,                 1.1618,                0.84896,                 0.6946,                0.78437,                0.56603,                   1.13,                0.82873,                 1.2664,              0.0045352,              0.0045352,              0.0045352
                    141,                0.95812,                0.90254,                  1.151,                0.85168,                0.69478,                0.78484,                 0.5664,                 1.1289,                0.82641,                 1.2657,              0.0044956,              0.0044956,              0.0044956
                    142,                0.96738,                0.90853,                 1.1595,                0.85248,                0.69723,                0.78489,                0.56699,                 1.1284,                 0.8271,                 1.2655,               0.004456,               0.004456,               0.004456
                    143,                0.96688,                0.90953,                 1.1626,                0.85302,                0.69593,                 0.7849,                 0.5672,                 1.1276,                0.82779,                 1.2651,              0.0044164,              0.0044164,              0.0044164
                    144,                0.96787,                0.90591,                 1.1537,                0.85454,                0.69798,                0.78598,                0.56688,                 1.1274,                0.82774,                 1.2652,              0.0043768,              0.0043768,              0.0043768
                    145,                0.96548,                0.89924,                 1.1561,                0.84951,                0.69969,                0.78634,                  0.567,                 1.1279,                0.82727,                 1.2657,              0.0043372,              0.0043372,              0.0043372
                    146,                0.96044,                0.89811,                 1.1532,                0.84854,                0.70041,                0.78593,                0.56666,                 1.1281,                 0.8282,                 1.2663,              0.0042976,              0.0042976,              0.0042976
                    147,                0.96477,                0.89208,                 1.1558,                0.84715,                 0.7022,                0.78619,                0.56655,                 1.1274,                0.82695,                 1.2657,               0.004258,               0.004258,               0.004258
                    148,                0.95569,                0.88293,                 1.1515,                0.84156,                0.70642,                0.78589,                0.56679,                 1.1274,                0.82713,                 1.2657,              0.0042184,              0.0042184,              0.0042184
                    149,                0.95467,                0.89392,                 1.1552,                0.84442,                0.70487,                0.78595,                0.56691,                 1.1269,                 0.8262,                 1.2657,              0.0041788,              0.0041788,              0.0041788
                    150,                0.95235,                0.87504,                 1.1492,                0.83988,                0.70911,                0.78589,                0.56713,                 1.1267,                0.82561,                 1.2659,              0.0041392,              0.0041392,              0.0041392
                    151,                0.95668,                 0.8851,                 1.1523,                0.83854,                0.70837,                0.78616,                0.56793,                 1.1272,                0.82491,                 1.2666,              0.0040996,              0.0040996,              0.0040996
                    152,                0.94646,                0.87598,                 1.1471,                0.84266,                0.70936,                0.78674,                0.56793,                 1.1279,                0.82382,                  1.267,                0.00406,                0.00406,                0.00406
                    153,                0.94593,                0.86364,                 1.1436,                0.84037,                0.70991,                0.78698,                0.56806,                 1.1275,                0.82348,                 1.2667,              0.0040204,              0.0040204,              0.0040204
                    154,                0.94937,                0.87758,                 1.1493,                0.84202,                0.70671,                0.78756,                0.56823,                 1.1276,                0.82253,                 1.2668,              0.0039808,              0.0039808,              0.0039808
                    155,                0.93895,                0.86787,                  1.143,                0.84061,                0.70484,                0.78748,                0.56853,                 1.1269,                0.82206,                 1.2669,              0.0039412,              0.0039412,              0.0039412
                    156,                0.94624,                0.87047,                 1.1475,                0.84399,                0.70356,                0.78626,                0.56787,                 1.1272,                0.82176,                 1.2673,              0.0039016,              0.0039016,              0.0039016
                    157,                0.94184,                0.86226,                 1.1428,                0.84475,                 0.7048,                0.78681,                0.56771,                 1.1269,                0.82112,                  1.267,               0.003862,               0.003862,               0.003862
                    158,                0.94459,                0.86934,                 1.1444,                0.84336,                0.70499,                 0.7871,                0.56826,                 1.1265,                 0.8205,                 1.2666,              0.0038224,              0.0038224,              0.0038224
                    159,                0.93765,                0.85523,                 1.1397,                0.85962,                0.69575,                0.78685,                0.56826,                 1.1267,                0.82003,                 1.2667,              0.0037828,              0.0037828,              0.0037828
                    160,                 0.9451,                0.86289,                 1.1407,                0.85826,                0.69567,                0.78665,                0.56882,                 1.1268,                0.82042,                 1.2668,              0.0037432,              0.0037432,              0.0037432
                    161,                0.93668,                 0.8599,                 1.1459,                0.85338,                0.69699,                0.78775,                0.56873,                 1.1269,                0.81928,                 1.2667,              0.0037036,              0.0037036,              0.0037036
                    162,                0.94563,                0.86616,                 1.1463,                0.85048,                0.70124,                0.78804,                0.56919,                 1.1268,                0.81912,                 1.2663,               0.003664,               0.003664,               0.003664
                    163,                0.93415,                0.85862,                 1.1413,                0.85051,                0.70182,                0.78848,                0.56962,                 1.1263,                0.81902,                 1.2657,              0.0036244,              0.0036244,              0.0036244
                    164,                0.92927,                0.84747,                 1.1397,                0.85071,                0.70345,                0.78818,                0.56965,                 1.1256,                0.81871,                 1.2649,              0.0035848,              0.0035848,              0.0035848
                    165,                0.93599,                 0.8454,                 1.1346,                0.84851,                0.70721,                0.78866,                0.56981,                 1.1259,                0.81795,                 1.2649,              0.0035452,              0.0035452,              0.0035452
                    166,                0.93374,                0.84237,                 1.1364,                0.84858,                0.70758,                0.78917,                0.57018,                 1.1253,                0.81713,                 1.2645,              0.0035056,              0.0035056,              0.0035056
                    167,                0.93441,                0.85096,                  1.137,                0.84645,                0.70902,                0.78939,                0.56988,                 1.1255,                0.81598,                 1.2648,               0.003466,               0.003466,               0.003466
                    168,                0.93121,                0.84775,                 1.1389,                0.83406,                0.71637,                0.78943,                0.57013,                 1.1252,                0.81507,                 1.2647,              0.0034264,              0.0034264,              0.0034264
                    169,                 0.9312,                0.83518,                 1.1347,                0.84185,                0.71017,                0.78943,                 0.5705,                 1.1249,                0.81413,                 1.2647,              0.0033868,              0.0033868,              0.0033868
                    170,                0.92559,                0.83892,                  1.135,                0.84177,                0.71186,                0.78985,                0.57044,                 1.1247,                0.81381,                 1.2646,              0.0033472,              0.0033472,              0.0033472
                    171,                0.92915,                 0.8423,                 1.1344,                0.84457,                0.71102,                0.78975,                0.57013,                 1.1241,                0.81366,                 1.2644,              0.0033076,              0.0033076,              0.0033076
                    172,                0.92251,                0.82803,                 1.1284,                0.84714,                0.70819,                 0.7901,                0.57014,                 1.1235,                 0.8131,                 1.2642,               0.003268,               0.003268,               0.003268
                    173,                0.91807,                0.82884,                 1.1338,                0.83886,                0.71457,                0.79012,                0.57035,                 1.1234,                 0.8126,                 1.2643,              0.0032284,              0.0032284,              0.0032284
                    174,                0.92045,                0.82565,                 1.1302,                0.83778,                0.71657,                0.79018,                 0.5709,                 1.1233,                0.81233,                 1.2643,              0.0031888,              0.0031888,              0.0031888
                    175,                0.92066,                0.82435,                 1.1279,                0.84896,                0.70924,                0.79022,                0.57087,                 1.1234,                0.81159,                 1.2645,              0.0031492,              0.0031492,              0.0031492
                    176,                0.91652,                0.82232,                  1.126,                0.83118,                0.72029,                0.79025,                0.57063,                  1.123,                0.81127,                 1.2645,              0.0031096,              0.0031096,              0.0031096
                    177,                0.91867,                0.82329,                 1.1281,                0.82906,                0.72167,                0.79016,                0.57079,                 1.1231,                0.81092,                 1.2646,                0.00307,                0.00307,                0.00307
                    178,                0.91676,                0.82356,                 1.1278,                0.82951,                0.72166,                 0.7905,                0.57047,                 1.1226,                0.81018,                 1.2645,              0.0030304,              0.0030304,              0.0030304
                    179,                0.91217,                0.81857,                  1.123,                0.83134,                0.71993,                0.79037,                0.57054,                 1.1227,                 0.8097,                 1.2648,              0.0029908,              0.0029908,              0.0029908
                    180,                0.91392,                0.82006,                 1.1265,                0.83193,                0.71932,                0.79016,                0.57014,                 1.1228,                0.80933,                  1.265,              0.0029512,              0.0029512,              0.0029512
                    181,                0.92182,                0.82567,                  1.131,                0.83105,                0.72081,                 0.7905,                0.57061,                 1.1228,                0.80905,                 1.2652,              0.0029116,              0.0029116,              0.0029116
                    182,                0.90027,                0.80139,                  1.122,                0.83177,                0.72095,                0.79098,                0.57055,                 1.1228,                0.80865,                 1.2653,               0.002872,               0.002872,               0.002872
                    183,                0.91524,                0.81719,                 1.1274,                0.83076,                0.72194,                0.79121,                0.57056,                 1.1231,                0.80833,                 1.2657,              0.0028324,              0.0028324,              0.0028324
                    184,                0.90054,                0.78886,                 1.1206,                0.84997,                0.70787,                0.79126,                0.57103,                 1.1227,                0.80792,                 1.2654,              0.0027928,              0.0027928,              0.0027928
                    185,                0.90377,                0.81019,                 1.1243,                0.84943,                0.70757,                0.79133,                0.57134,                 1.1226,                0.80809,                 1.2653,              0.0027532,              0.0027532,              0.0027532
                    186,                0.90047,                0.80369,                 1.1193,                0.85553,                0.70741,                0.79154,                0.57109,                 1.1227,                0.80785,                 1.2655,              0.0027136,              0.0027136,              0.0027136
                    187,                0.90082,                0.80267,                 1.1211,                0.85204,                0.70891,                0.79124,                0.57122,                 1.1223,                0.80778,                 1.2652,               0.002674,               0.002674,               0.002674
                    188,                0.89532,                0.79388,                 1.1175,                0.85211,                0.70972,                0.79146,                0.57198,                 1.1221,                 0.8075,                 1.2651,              0.0026344,              0.0026344,              0.0026344
                    189,                0.90866,                0.81135,                 1.1204,                0.85275,                0.70959,                0.79152,                0.57191,                  1.122,                0.80739,                 1.2652,              0.0025948,              0.0025948,              0.0025948
                    190,                0.89875,                0.79792,                 1.1163,                0.85156,                 0.7107,                0.79205,                0.57229,                 1.1222,                0.80688,                 1.2653,              0.0025552,              0.0025552,              0.0025552
                    191,                0.89147,                0.78757,                  1.114,                0.84421,                0.71538,                0.79213,                0.57212,                  1.122,                0.80679,                 1.2653,              0.0025156,              0.0025156,              0.0025156
                    192,                0.89964,                0.78129,                 1.1142,                0.84876,                0.71389,                0.79235,                0.57202,                  1.122,                0.80674,                 1.2653,               0.002476,               0.002476,               0.002476
                    193,                0.89495,                0.78125,                 1.1155,                  0.848,                0.71428,                0.79243,                0.57216,                 1.1219,                0.80655,                 1.2652,              0.0024364,              0.0024364,              0.0024364
                    194,                0.88994,                0.78375,                 1.1126,                0.84828,                0.71448,                0.79238,                0.57205,                 1.1219,                0.80611,                 1.2652,              0.0023968,              0.0023968,              0.0023968
                    195,                0.89477,                 0.7903,                 1.1138,                0.85259,                0.71115,                0.79216,                0.57191,                 1.1223,                0.80535,                 1.2654,              0.0023572,              0.0023572,              0.0023572
                    196,                0.88962,                0.78239,                  1.112,                0.85367,                0.71118,                0.79292,                0.57195,                  1.122,                0.80521,                 1.2652,              0.0023176,              0.0023176,              0.0023176
                    197,                0.88675,                0.78532,                 1.1104,                0.85371,                 0.7111,                0.79294,                0.57203,                 1.1222,                0.80443,                 1.2655,               0.002278,               0.002278,               0.002278
                    198,                 0.8803,                 0.7683,                 1.1078,                0.85414,                0.70981,                0.79313,                0.57188,                  1.122,                0.80403,                 1.2656,              0.0022384,              0.0022384,              0.0022384
                    199,                0.88929,                0.77511,                 1.1114,                0.85263,                0.71183,                0.79353,                0.57196,                 1.1221,                0.80359,                 1.2656,              0.0021988,              0.0021988,              0.0021988
                    200,                 0.8829,                0.77791,                 1.1035,                 0.8469,                0.71936,                0.79398,                0.57219,                 1.1223,                 0.8033,                 1.2657,              0.0021592,              0.0021592,              0.0021592
                    201,                0.87274,                0.76124,                 1.1005,                0.84657,                0.71851,                0.79393,                0.57194,                 1.1224,                0.80278,                 1.2657,              0.0021196,              0.0021196,              0.0021196
                    202,                0.88014,                0.76748,                 1.1088,                0.84433,                0.72213,                0.79425,                0.57218,                 1.1228,                0.80246,                 1.2662,                0.00208,                0.00208,                0.00208
                    203,                0.87688,                 0.7605,                 1.1061,                0.84375,                0.72208,                 0.7944,                 0.5729,                 1.1229,                0.80247,                 1.2665,              0.0020404,              0.0020404,              0.0020404
                    204,                0.88157,                0.76753,                 1.1076,                0.83913,                0.72334,                0.79403,                0.57274,                 1.1228,                0.80221,                 1.2664,              0.0020008,              0.0020008,              0.0020008
                    205,                0.87541,                0.76073,                 1.1042,                0.83678,                0.72369,                0.79428,                0.57295,                 1.1232,                0.80182,                 1.2669,              0.0019612,              0.0019612,              0.0019612
                    206,                0.87782,                0.76312,                 1.1073,                0.83726,                0.72403,                0.79404,                0.57264,                 1.1232,                0.80134,                 1.2668,              0.0019216,              0.0019216,              0.0019216
                    207,                0.86977,                0.76065,                 1.0995,                0.83583,                0.72436,                0.79432,                0.57279,                 1.1235,                 0.8012,                 1.2671,               0.001882,               0.001882,               0.001882
                    208,                0.86664,                 0.7507,                 1.0982,                0.83348,                0.72586,                0.79413,                0.57289,                 1.1238,                0.80125,                 1.2676,              0.0018424,              0.0018424,              0.0018424
                    209,                0.86727,                0.75303,                 1.1035,                0.83246,                0.72652,                0.79441,                0.57289,                 1.1239,                0.80098,                 1.2678,              0.0018028,              0.0018028,              0.0018028
                    210,                0.86225,                0.74879,                 1.0951,                0.83086,                0.72799,                0.79387,                 0.5727,                 1.1237,                0.80049,                 1.2679,              0.0017632,              0.0017632,              0.0017632
                    211,                0.86675,                0.73736,                 1.0992,                0.82912,                  0.728,                  0.794,                0.57289,                 1.1238,                0.80072,                  1.268,              0.0017236,              0.0017236,              0.0017236
                    212,                0.86319,                 0.7429,                 1.0978,                0.82779,                0.72926,                0.79411,                0.57314,                 1.1239,                0.80105,                 1.2681,               0.001684,               0.001684,               0.001684
                    213,                0.87293,                 0.7566,                 1.1058,                0.82923,                0.72769,                0.79379,                0.57326,                 1.1238,                0.80108,                 1.2682,              0.0016444,              0.0016444,              0.0016444
                    214,                0.85836,                0.73386,                 1.0938,                0.82947,                0.72691,                0.79401,                0.57298,                  1.124,                0.80065,                  1.268,              0.0016048,              0.0016048,              0.0016048
                    215,                0.86956,                0.74692,                 1.1004,                0.83763,                0.72285,                0.79447,                0.57352,                 1.1241,                0.80112,                 1.2683,              0.0015652,              0.0015652,              0.0015652
                    216,                0.85156,                0.72809,                 1.0909,                0.82878,                0.72838,                0.79426,                0.57298,                 1.1242,                0.80099,                 1.2685,              0.0015256,              0.0015256,              0.0015256
                    217,                0.86155,                0.74283,                 1.0964,                0.82882,                0.72856,                0.79439,                0.57293,                 1.1244,                0.80048,                 1.2688,               0.001486,               0.001486,               0.001486
                    218,                0.85102,                 0.7308,                 1.0914,                0.83043,                0.72839,                0.79475,                0.57305,                 1.1245,                0.80037,                 1.2687,              0.0014464,              0.0014464,              0.0014464
                    219,                0.85403,                0.72488,                 1.0916,                0.83108,                0.72797,                0.79478,                0.57303,                 1.1248,                0.79999,                 1.2691,              0.0014068,              0.0014068,              0.0014068
                    220,                0.84405,                 0.7337,                 1.0869,                0.83372,                0.72538,                0.79521,                0.57313,                 1.1253,                0.79952,                 1.2699,              0.0013672,              0.0013672,              0.0013672
                    221,                0.85668,                0.73081,                 1.0938,                0.83195,                0.72891,                 0.7958,                0.57299,                 1.1254,                0.79994,                 1.2699,              0.0013276,              0.0013276,              0.0013276
                    222,                0.85425,                0.73363,                 1.0915,                0.83337,                0.72844,                0.79601,                0.57284,                 1.1247,                0.80005,                 1.2686,               0.001288,               0.001288,               0.001288
                    223,                0.84176,                0.71584,                 1.0888,                 0.8368,                0.72709,                0.79585,                0.57306,                 1.1249,                0.79986,                 1.2688,              0.0012484,              0.0012484,              0.0012484
                    224,                0.84983,                 0.7207,                 1.0906,                0.83097,                0.72902,                 0.7958,                0.57296,                  1.125,                0.79962,                 1.2689,              0.0012088,              0.0012088,              0.0012088
                    225,                0.84357,                0.70923,                  1.087,                0.83269,                0.73054,                0.79634,                0.57272,                 1.1249,                0.79952,                 1.2688,              0.0011692,              0.0011692,              0.0011692
                    226,                0.84684,                0.72608,                 1.0874,                0.83164,                0.73458,                0.79725,                0.57286,                 1.1253,                0.79927,                 1.2689,              0.0011296,              0.0011296,              0.0011296
                    227,                 0.8465,                0.72051,                 1.0918,                0.83057,                0.73541,                0.79727,                0.57287,                 1.1252,                0.79915,                 1.2687,                0.00109,                0.00109,                0.00109
                    228,                0.83657,                0.71045,                 1.0863,                0.83019,                0.73544,                0.79738,                0.57298,                 1.1252,                0.79948,                 1.2689,              0.0010504,              0.0010504,              0.0010504
                    229,                0.83935,                0.71743,                 1.0848,                 0.8288,                0.73686,                0.79761,                0.57245,                 1.1254,                0.79951,                 1.2689,              0.0010108,              0.0010108,              0.0010108
                    230,                0.83531,                0.71255,                 1.0835,                0.83118,                  0.736,                0.79757,                0.57302,                 1.1258,                0.79929,                 1.2693,              0.0009712,              0.0009712,              0.0009712
                    231,                0.83318,                0.70382,                  1.085,                0.82829,                0.73847,                0.79744,                0.57298,                 1.1256,                0.79942,                 1.2693,              0.0009316,              0.0009316,              0.0009316
                    232,                0.84069,                0.71806,                 1.0864,                 0.8289,                0.73878,                0.79744,                0.57319,                  1.126,                0.79938,                 1.2694,               0.000892,               0.000892,               0.000892
                    233,                0.83102,                0.70149,                 1.0826,                0.82896,                0.73986,                 0.7974,                0.57312,                  1.126,                0.79944,                 1.2691,              0.0008524,              0.0008524,              0.0008524
                    234,                0.83934,                0.71518,                 1.0857,                0.82878,                0.73986,                0.79768,                0.57325,                  1.126,                0.79975,                 1.2692,              0.0008128,              0.0008128,              0.0008128
                    235,                0.83027,                0.70698,                 1.0825,                0.83069,                 0.7398,                  0.798,                0.57335,                 1.1263,                0.79992,                 1.2694,              0.0007732,              0.0007732,              0.0007732
                    236,                0.82557,                0.70418,                 1.0815,                0.82931,                0.73891,                0.79803,                0.57339,                 1.1264,                0.80003,                 1.2695,              0.0007336,              0.0007336,              0.0007336
                    237,                0.83399,                0.70266,                  1.079,                0.83057,                 0.7381,                0.79762,                0.57318,                 1.1265,                0.79952,                 1.2696,               0.000694,               0.000694,               0.000694
                    238,                0.83761,                  0.701,                 1.0837,                0.83037,                0.73825,                0.79761,                0.57333,                 1.1268,                 0.7995,                 1.2697,              0.0006544,              0.0006544,              0.0006544
                    239,                 0.8287,                0.70073,                 1.0808,                0.83187,                0.73839,                 0.7979,                  0.573,                 1.1271,                0.79912,                 1.2699,              0.0006148,              0.0006148,              0.0006148
                    240,                0.83132,                0.69988,                 1.0826,                0.83196,                0.73701,                0.79799,                0.57339,                 1.1275,                0.79922,                 1.2703,              0.0005752,              0.0005752,              0.0005752
                    241,                0.72117,                0.50188,                 1.0078,                0.83189,                0.73755,                 0.7979,                0.57334,                 1.1277,                0.79875,                 1.2705,              0.0005356,              0.0005356,              0.0005356
                    242,                0.71518,                0.48478,                 1.0022,                0.83079,                0.73672,                0.79751,                0.57273,                 1.1279,                0.79866,                 1.2706,               0.000496,               0.000496,               0.000496
                    243,                 0.7103,                0.47277,                 1.0007,                0.83148,                0.73616,                 0.7974,                0.57259,                 1.1278,                0.79843,                 1.2705,              0.0004564,              0.0004564,              0.0004564
                    244,                0.70644,                0.46441,                 1.0011,                0.83162,                0.73624,                0.79734,                0.57271,                 1.1274,                0.79853,                 1.2706,              0.0004168,              0.0004168,              0.0004168
                    245,                0.70131,                 0.4676,                0.99562,                0.83063,                0.73663,                0.79754,                0.57349,                 1.1279,                0.79863,                 1.2713,              0.0003772,              0.0003772,              0.0003772
                    246,                0.69568,                 0.4643,                0.99908,                0.83105,                0.73668,                0.79786,                0.57327,                 1.1277,                 0.7987,                 1.2713,              0.0003376,              0.0003376,              0.0003376
                    247,                  0.696,                0.45948,                0.99721,                0.83209,                0.73677,                0.79773,                0.57344,                 1.1279,                0.79826,                 1.2716,               0.000298,               0.000298,               0.000298
                    248,                0.68978,                0.45525,                0.99318,                0.83358,                0.73562,                0.79758,                0.57375,                 1.1278,                0.79835,                 1.2717,              0.0002584,              0.0002584,              0.0002584
                    249,                0.69358,                0.45612,                0.99501,                0.83341,                0.73431,                0.79783,                0.57378,                 1.1278,                0.79809,                  1.272,              0.0002188,              0.0002188,              0.0002188
                    250,                0.68985,                0.45389,                0.99414,                0.83371,                0.73528,                0.79759,                0.57348,                 1.1279,                0.79822,                  1.272,              0.0001792,              0.0001792,              0.0001792
